"","X","Unnamed..0","NameCode_x","Last_Name_x","First_Name_x","Season_x","Age","Team","Nat","Pos","Position","GP","G","A","PTS","PM","PIM","ESG","PPG","SHG","Shot","TOI","OPS","DPS","PS","OGVT","DGVT","SGVT","GVT","Sub_ID","TotYears","year_number","NameCode_Season","Season_Start","Season_y","NameCode_y","First_Name_y","Last_Name_y","Salary","Sal_mil","a1","a2","a3","a4","a5","a6","goals_million","assists_million","point_.million","shots_million","plus_minus_million","time_on_ice_million","sal_scaled","pts_scaled"
"21",20,289,"Alzner Karl","Alzner","Karl","2015-16",27,"WSH","CA","D","D",82,4,17,21,14,26,4,0,0,75,1753,0.6,4.7,5.4,2.1,6.5,0,8.6,"Sub_ 55",8,8,"Alzner Karl_2015-2016",2015,"2015-2016","Alzner Karl","Karl ","Alzner",2800000,2.8,1.428571429,6.071428571,7.5,26.78571429,5,626.0714286,1.428571429,6.071428571,7.5,26.78571429,5,626.0714286,0.245384270773567,-0.136397024742841
"22",21,342,"Anderson Josh","Anderson","Josh","2015-16",21,"CBJ","CA","RW","RW",12,1,3,4,0,2,1,0,0,11,128,0.2,0.1,0.3,0.4,0.3,0,0.8,"Sub_ 64",2,2,"Anderson Josh_2015-2016",2015,"2015-2016","Anderson Josh","Josh ","Anderson",105364,0.105364,9.49090771,28.47272313,37.96363084,104.3999848,0,1214.836187,9.49090771,28.47272313,37.96363084,104.3999848,0,1214.836187,-0.997502753521788,-1.01562327784678
"23",22,381,"Andersson Joakim","Andersson","Joakim","2013-14",24,"DET","SE","C","C",65,8,9,17,-11,12,8,0,0,78,899,0.3,0.5,0.8,0,2.4,0,2.4,"Sub_ 72",5,3,"Andersson Joakim_2013-2014",2013,"2013-2014","Andersson Joakim","Joakim ","Andersson",700000,0.7,11.42857143,12.85714286,24.28571429,111.4285714,-15.71428571,1284.285714,11.42857143,12.85714286,24.28571429,111.4285714,-15.71428571,1284.285714,-0.723229950598167,-0.343273790179062
"24",23,382,"Andersson Joakim","Andersson","Joakim","2014-15",25,"DET","SE","C","C",68,3,5,8,-4,22,3,0,0,74,791,-1,0.7,-0.3,-2.2,1.9,0,-0.3,"Sub_ 72",5,4,"Andersson Joakim_2014-2015",2014,"2014-2015","Andersson Joakim","Joakim ","Andersson",765000,0.765,3.921568627,6.535947712,10.45751634,96.73202614,-5.22875817,1033.986928,3.921568627,6.535947712,10.45751634,96.73202614,-5.22875817,1033.986928,-0.693249034222375,-0.808746512410558
"25",24,383,"Andersson Joakim","Andersson","Joakim","2015-16",26,"DET","SE","C","C",29,1,2,3,1,6,1,0,0,17,262,-0.3,0.3,0.1,-0.4,1.2,0,0.8,"Sub_ 72",5,5,"Andersson Joakim_2015-2016",2015,"2015-2016","Andersson Joakim","Joakim ","Andersson",600295,0.600295,1.665847625,3.33169525,4.997542875,28.31940962,1.665847625,436.4520777,1.665847625,3.33169525,4.997542875,28.31940962,1.665847625,436.4520777,-0.769218370094295,-1.06734246920583
"26",25,422,"Andreoff Andy","Andreoff","Andy","2014-15",23,"LAK","CA","LW/C","LW",18,2,1,3,1,18,2,0,0,14,154,0.1,0.2,0.4,0.6,0.4,0,1,"Sub_ 79",2,1,"Andreoff Andy_2014-2015",2014,"2014-2015","Andreoff Andy","Andy ","Andreoff",550000,0.55,3.636363636,1.818181818,5.454545455,25.45454545,1.818181818,280,3.636363636,1.818181818,5.454545455,25.45454545,1.818181818,280,-0.792416680696148,-1.06734246920583
"27",26,423,"Andreoff Andy","Andreoff","Andy","2015-16",24,"LAK","CA","LW","LW",60,8,2,10,1,76,8,0,0,46,528,0.6,0.6,1.2,0.7,1.1,0,1.8,"Sub_ 79",2,2,"Andreoff Andy_2015-2016",2015,"2015-2016","Andreoff Andy","Andy ","Andreoff",575000,0.575,13.91304348,3.47826087,17.39130435,80,1.739130435,918.2608696,13.91304348,3.47826087,17.39130435,80,1.739130435,918.2608696,-0.780885559013151,-0.705308129692448
"28",27,449,"Andrighetto Sven","Andrighetto","Sven","2015-16",22,"MTL","CH","RW","RW",44,7,10,17,1,6,6,1,0,74,621,0.9,0.7,1.7,1.3,1.3,0.5,3,"Sub_ 82",2,2,"Andrighetto Sven_2015-2016",2015,"2015-2016","Andrighetto Sven","Sven ","Andrighetto",458284,0.458284,15.27437135,21.8205305,37.09490185,161.4719257,2.18205305,1355.054944,15.27437135,21.8205305,37.09490185,161.4719257,2.18205305,1355.054944,-0.834720214947258,-0.343273790179062
"29",28,461,"Angelidis Mike","Angelidis","Mike","2012-13",27,"TBL","CA","C","C",1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.1,0,0.1,"Sub_ 85",4,2,"Angelidis Mike_2012-2013",2012,"2012-2013","Angelidis Mike","Mike ","Angelidis",307317,0.307317,0,0,0,0,0,22.7777832,0,0,0,0,0,22.7777832,-0.904352968831937,-1.222500043283
"30",29,462,"Angelidis Mike","Angelidis","Mike","2014-15",29,"TBL","CA","LW","LW",3,0,0,0,0,12,0,0,0,0,22,-0.1,0,0,-0.1,0,0,0,"Sub_ 85",4,3,"Angelidis Mike_2014-2015",2014,"2014-2015","Angelidis Mike","Mike ","Angelidis",27957,0.027957,0,0,0,0,0,786.9227743,0,0,0,0,0,786.9227743,-1.03320633496642,-1.222500043283
"31",30,476,"Anisimov Artem","Anisimov","Artem","2011-12",23,"NYR","SU","C","C",79,16,20,36,12,34,11,4,1,132,1217,2.4,2,4.4,4.7,3.5,-0.6,7.6,"Sub_ 89",8,4,"Anisimov Artem_2011-2012",2011,"2011-2012","Anisimov Artem","Artem ","Anisimov",1875000,1.875,8.533333333,10.66666667,19.2,70.4,6.4,649.0666667,8.533333333,10.66666667,19.2,70.4,6.4,649.0666667,-0.181267231497316,0.639390845642987
"32",31,477,"Anisimov Artem","Anisimov","Artem","2012-13",24,"CBJ","SU","C","C",35,11,7,18,-6,12,10,1,0,68,574,1.6,0.4,2.1,2,0.9,1.5,4.4,"Sub_ 89",8,5,"Anisimov Artem_2012-2013",2012,"2012-2013","Anisimov Artem","Artem ","Anisimov",1097561,1.097561,10.022222,6.377777636,16.39999964,61.95555418,-5.466666545,522.9777662,10.022222,6.377777636,16.39999964,61.95555418,-5.466666545,522.9777662,-0.539856979901611,-0.291554598820006
"33",32,478,"Anisimov Artem","Anisimov","Artem","2013-14",25,"CBJ","SU","C","C",81,22,17,39,-2,20,17,3,2,162,1344,3.1,1.4,4.5,5,3.5,0,8.5,"Sub_ 89",8,6,"Anisimov Artem_2013-2014",2013,"2013-2014","Anisimov Artem","Artem ","Anisimov",2750000,2.75,8,6.181818182,14.18181818,58.90909091,-0.727272727,488.7272727,8,6.181818182,14.18181818,58.90909091,-0.727272727,488.7272727,0.222322027407574,0.794548419720153
"34",33,479,"Anisimov Artem","Anisimov","Artem","2014-15",26,"CBJ","RU","C","C",52,7,20,27,-6,8,7,0,0,88,852,1.4,0.6,2,2.8,1,-0.8,3,"Sub_ 89",8,7,"Anisimov Artem_2014-2015",2014,"2014-2015","Anisimov Artem","Artem ","Anisimov",3100000,3.1,2.258064516,6.451612903,8.709677419,28.38709677,-1.935483871,274.8387097,2.258064516,6.451612903,8.709677419,28.38709677,-1.935483871,274.8387097,0.38375773096953,0.17391812341149
"35",34,480,"Anisimov Artem","Anisimov","Artem","2015-16",27,"CHI","SU","C","C",77,20,22,42,8,12,12,5,3,121,1393,3.1,1.9,4.9,2.6,3.7,0.5,6.8,"Sub_ 89",8,8,"Anisimov Artem_2015-2016",2015,"2015-2016","Anisimov Artem","Artem ","Anisimov",4000000,4,5,5.5,10.5,30.25,2,348.25,5,5.5,10.5,30.25,2,348.25,0.798878111557416,0.949705993797318
"36",35,541,"Arcobello Mark","Arcobello","Mark","2014-15",26,"ARI","US","C/RW","C",77,17,14,31,-10,20,16,1,0,129,1140,2.2,1,3.3,3.8,2.4,-0.5,5.6,"Sub_ 101",4,3,"Arcobello Mark_2014-2015",2014,"2014-2015","Arcobello Mark","Mark ","Arcobello",193548,0.193548,87.833509,72.333478,160.166987,666.501333,-51.66677,5890.01178,87.833509,72.333478,160.166987,666.501333,-51.66677,5890.01178,-0.956828336142052,0.380794888847711
"37",36,550,"Armia Joel","Armia","Joel","2015-16",22,"WPG","FI","RW","RW",43,4,6,10,2,12,4,0,0,52,523,0.1,0.6,0.8,0.2,1.2,0,1.5,"Sub_ 104",2,2,"Armia Joel_2015-2016",2015,"2015-2016","Armia Joel","Joel ","Armia",832500,0.8325,4.804804805,7.207207207,12.01201201,62.46246246,2.402402402,628.2282282,4.804804805,7.207207207,12.01201201,62.46246246,2.402402402,628.2282282,-0.662115005678284,-0.705308129692448
"38",37,642,"Arvidsson Viktor","Arvidsson","Viktor","2014-15",21,"NSH","SE","LW","LW",6,0,0,0,0,0,0,0,0,9,62,-0.2,0.1,-0.1,-0.3,0.1,0,-0.2,"Sub_ 122",2,1,"Arvidsson Viktor_2014-2015",2014,"2014-2015","Arvidsson Viktor","Viktor ","Arvidsson",105753,0.105753,0,0,0,85.10396868,0,586.2717843,0,0,0,85.10396868,0,586.2717843,-0.9973233292684,-1.222500043283
"39",38,643,"Arvidsson Viktor","Arvidsson","Viktor","2015-16",22,"NSH","SE","LW","LW",56,8,8,16,-8,35,7,1,0,139,694,0.8,0.4,1.2,1.1,0.7,0,1.8,"Sub_ 122",2,2,"Arvidsson Viktor_2015-2016",2015,"2015-2016","Arvidsson Viktor","Viktor ","Arvidsson",476103,0.476103,16.80308673,16.80308673,33.60617345,291.9536319,-16.80308673,1457.667774,16.80308673,16.80308673,33.60617345,291.9536319,-16.80308673,1457.667774,-0.826501292656485,-0.394992981538117
"40",39,696,"Athanasiou Andreas","Athanasiou","Andreas","2015-16",21,"DET","CA","C","C",37,9,5,14,1,5,8,0,1,53,334,1.7,0.4,2.1,2.8,1.1,0.5,4.3,"Sub_ 131",1,1,"Athanasiou Andreas_2015-2016",2015,"2015-2016","Athanasiou Andreas","Andreas ","Athanasiou",333598,0.333598,26.97857901,14.98809945,41.96667846,158.8738542,2.99761989,1001.205043,26.97857901,14.98809945,41.96667846,158.8738542,2.99761989,1001.205043,-0.892230992473903,-0.498431364256227
"41",40,772,"Aulie Keith","Aulie","Keith","2011-12",22,"TOT","CA","D","D",36,0,3,3,-7,29,0,0,0,18,484,-0.2,0.2,0,-0.8,0,0,-0.8,"Sub_ 146",5,2,"Aulie Keith_2011-2012",2011,"2011-2012","Aulie Keith","Keith ","Aulie",525000,0.525,0,5.714285714,5.714285714,34.28571429,-13.33333333,921.9047619,0,5.714285714,5.714285714,34.28571429,-13.33333333,921.9047619,-0.803947802379145,-1.06734246920583
"42",41,773,"Aulie Keith","Aulie","Keith","2012-13",23,"TBL","CA","D","D",45,2,5,7,1,60,2,0,0,37,577,0.3,1,1.2,0.6,1.1,0,1.7,"Sub_ 146",5,3,"Aulie Keith_2012-2013",2012,"2012-2013","Aulie Keith","Keith ","Aulie",338049,0.338049,5.916302075,14.79075519,20.70705726,109.4515884,2.958151037,1706.853149,5.916302075,14.79075519,20.70705726,109.4515884,2.958151037,1706.853149,-0.890177991569463,-0.860465703769614
"43",42,774,"Aulie Keith","Aulie","Keith","2013-14",24,"TBL","CA","D","D",15,0,1,1,-3,9,0,0,0,6,147,-0.1,0,-0.1,-0.2,-0.2,0,-0.4,"Sub_ 146",5,4,"Aulie Keith_2013-2014",2013,"2013-2014","Aulie Keith","Keith ","Aulie",975000,0.975,0,1.025641026,1.025641026,6.153846154,-3.076923077,150.7692308,0,1.025641026,1.025641026,6.153846154,-3.076923077,150.7692308,-0.596387612085202,-1.17078085192394
"44",43,775,"Aulie Keith","Aulie","Keith","2014-15",25,"EDM","CA","D","D",31,0,1,1,-3,66,0,0,0,25,443,-0.4,0.8,0.3,-1.4,1.1,-0.3,-0.5,"Sub_ 146",5,5,"Aulie Keith_2014-2015",2014,"2014-2015","Aulie Keith","Keith ","Aulie",688172,0.688172,0,1.453125091,1.453125091,36.32812727,-4.359375272,643.7344152,0,1.453125091,1.453125091,36.32812727,-4.359375272,643.7344152,-0.728685554888827,-1.17078085192394
"45",44,861,"Backes David","Backes","David","2011-12",27,"STL","US","RW","RW",82,24,30,54,15,101,14,8,2,234,1640,4.2,2.8,7,6.3,5.2,-0.3,11.2,"Sub_ 160",10,6,"Backes David_2011-2012",2011,"2011-2012","Backes David","David ","Backes",4500000,4.5,5.333333333,6.666666667,12,52,3.333333333,364.4444444,5.333333333,6.666666667,12,52,3.333333333,364.4444444,1.02950054521735,1.57033629010598
"46",45,862,"Backes David","Backes","David","2012-13",28,"STL","US","RW","RW",48,6,22,28,5,62,5,1,0,100,941,1.1,1.5,2.6,1.8,3.5,0,5.3,"Sub_ 160",10,7,"Backes David_2012-2013",2012,"2012-2013","Backes David","David ","Backes",2195122,2.195122,2.733333273,10.022222,12.75555527,45.55555454,2.277777727,428.6777683,2.733333273,10.022222,12.75555527,45.55555454,2.277777727,428.6777683,-0.0336126020811431,0.225637314770546
"47",46,863,"Backes David","Backes","David","2013-14",29,"STL","US","C","C",74,27,30,57,14,119,17,10,0,165,1447,5.3,2.3,7.6,9.8,5.2,0,15,"Sub_ 160",10,8,"Backes David_2013-2014",2013,"2013-2014","Backes David","David ","Backes",4750000,4.75,5.684210526,6.315789474,12,34.73684211,2.947368421,304.6315789,5.684210526,6.315789474,12,34.73684211,2.947368421,304.6315789,1.14481176204732,1.72549386418315
"48",47,864,"Backes David","Backes","David","2014-15",30,"STL","US","C/RW","C",80,26,32,58,7,104,16,10,0,183,1491,5.2,1.9,7.2,8.1,4.5,0,12.7,"Sub_ 160",10,9,"Backes David_2014-2015",2014,"2014-2015","Backes David","David ","Backes",4750000,4.75,5.473684211,6.736842105,12.21052632,38.52631579,1.473684211,313.8947368,5.473684211,6.736842105,12.21052632,38.52631579,1.473684211,313.8947368,1.14481176204732,1.7772130555422
"49",48,865,"Backes David","Backes","David","2015-16",31,"STL","US","C","C",79,21,24,45,4,83,13,8,0,168,1519,3.2,2,5.2,5.5,3.9,0.2,9.6,"Sub_ 160",10,10,"Backes David_2015-2016",2015,"2015-2016","Backes David","David ","Backes",4750000,4.75,4.421052632,5.052631579,9.473684211,35.36842105,0.842105263,319.7894737,4.421052632,5.052631579,9.473684211,35.36842105,0.842105263,319.7894737,1.14481176204732,1.10486356787448
"50",49,869,"Backlund Mikael","Backlund","Mikael","2011-12",22,"CGY","SE","C","C",41,4,7,11,-13,16,2,2,0,85,631,-0.1,0.2,0.2,-1,0.2,-0.3,-1.1,"Sub_ 161",8,4,"Backlund Mikael_2011-2012",2011,"2011-2012","Backlund Mikael","Mikael ","Backlund",875000,0.875,4.571428571,8,12.57142857,97.14285714,-14.85714286,721.1428571,4.571428571,8,12.57142857,97.14285714,-14.85714286,721.1428571,-0.642512098817189,-0.653588938333393
"51",50,870,"Backlund Mikael","Backlund","Mikael","2012-13",23,"CGY","SE","C","C",32,8,8,16,-6,29,6,2,0,88,484,1.3,0.3,1.6,2.6,0.2,0,2.9,"Sub_ 161",8,5,"Backlund Mikael_2012-2013",2012,"2012-2013","Backlund Mikael","Mikael ","Backlund",424390,0.42439,18.85058555,18.85058555,37.70117109,207.356441,-14.13793916,1140.460426,18.85058555,18.85058555,37.70117109,207.356441,-14.13793916,1140.460426,-0.850353648480198,-0.394992981538117
"52",51,871,"Backlund Mikael","Backlund","Mikael","2013-14",24,"CGY","SE","C","C",76,18,21,39,4,32,9,5,4,178,1409,2.4,2,4.4,3.9,4.6,-0.6,7.9,"Sub_ 161",8,6,"Backlund Mikael_2013-2014",2013,"2013-2014","Backlund Mikael","Mikael ","Backlund",1500000,1.5,12,14,26,118.6666667,2.666666667,939.3333333,12,14,26,118.6666667,2.666666667,939.3333333,-0.354234056742268,0.794548419720153
"53",52,872,"Backlund Mikael","Backlund","Mikael","2014-15",25,"CGY","SE","C","C",52,10,17,27,4,14,8,0,2,103,923,1.5,1.2,2.7,4,2.7,0,6.7,"Sub_ 161",8,7,"Backlund Mikael_2014-2015",2014,"2014-2015","Backlund Mikael","Mikael ","Backlund",1500000,1.5,6.666666667,11.33333333,18,68.66666667,2.666666667,615.3333333,6.666666667,11.33333333,18,68.66666667,2.666666667,615.3333333,-0.354234056742268,0.17391812341149
"54",53,873,"Backlund Mikael","Backlund","Mikael","2015-16",26,"CGY","SE","C","C",82,21,26,47,10,28,15,3,3,155,1347,3.7,1.7,5.5,7.3,4.3,0,11.6,"Sub_ 161",8,8,"Backlund Mikael_2015-2016",2015,"2015-2016","Backlund Mikael","Mikael ","Backlund",3575000,3.575,5.874125874,7.272727273,13.14685315,43.35664336,2.797202797,376.7832168,5.874125874,7.272727273,13.14685315,43.35664336,2.797202797,376.7832168,0.60284904294647,1.20830195059259
