,Unnamed: 0,NameCode_x,Last_Name_x,First_Name_x,Season_x,Age,Team,Nat,Pos,GP,G,A,PTS,PM,PIM,ESG,PPG,SHG,Shot,TOI,OPS,DPS,PS,OGVT,DGVT,SGVT,GVT,Sub_ID,TotYears,year_number,NameCode_Season,Season_Start,Season_y,NameCode_y,First_Name_y,Last_Name_y,Salary,Sal_mil,a1,a2,a3,a4,a5,a6,goals_million,assists_million,point_/million,shots_million,plus_minus_million,time_on_ice_million
20,289,Alzner Karl,Alzner,Karl,2015-16,27.0,WSH,CA,D,82,4,17,21,14,26,4,0,0,75,1753,0.6,4.7,5.4,2.1,6.5,0.0,8.6,Sub_ 55,8,8,Alzner Karl_2015-2016,2015,2015-2016,Alzner Karl,Karl ,Alzner,2800000,2.8,1.4285714285714286,6.071428571428572,7.500000000000001,26.78571428571429,5.0,626.0714285714286,1.4285714285714286,6.071428571428572,7.500000000000001,26.78571428571429,5.0,626.0714285714286
21,342,Anderson Josh,Anderson,Josh,2015-16,21.0,CBJ,CA,RW,12,1,3,4,0,2,1,0,0,11,128,0.2,0.1,0.3,0.4,0.3,0.0,0.8,Sub_ 64,2,2,Anderson Josh_2015-2016,2015,2015-2016,Anderson Josh,Josh ,Anderson,105364,0.105364,9.490907710413424,28.472723131240272,37.963630841653696,104.39998481454766,0.0,1214.8361869329183,9.490907710413424,28.472723131240272,37.963630841653696,104.39998481454766,0.0,1214.8361869329183
22,381,Andersson Joakim,Andersson,Joakim,2013-14,24.0,DET,SE,C,65,8,9,17,-11,12,8,0,0,78,899,0.3,0.5,0.8,0.0,2.4,0.0,2.4,Sub_ 72,5,3,Andersson Joakim_2013-2014,2013,2013-2014,Andersson Joakim,Joakim ,Andersson,700000,0.7,11.428571428571429,12.857142857142858,24.28571428571429,111.42857142857143,-15.714285714285715,1284.2857142857144,11.428571428571429,12.857142857142858,24.28571428571429,111.42857142857143,-15.714285714285715,1284.2857142857144
23,382,Andersson Joakim,Andersson,Joakim,2014-15,25.0,DET,SE,C,68,3,5,8,-4,22,3,0,0,74,791,-1.0,0.7,-0.3,-2.2,1.9,0.0,-0.3,Sub_ 72,5,4,Andersson Joakim_2014-2015,2014,2014-2015,Andersson Joakim,Joakim ,Andersson,765000,0.765,3.9215686274509802,6.5359477124183005,10.457516339869281,96.73202614379085,-5.228758169934641,1033.986928104575,3.9215686274509802,6.5359477124183005,10.457516339869281,96.73202614379085,-5.228758169934641,1033.986928104575
24,383,Andersson Joakim,Andersson,Joakim,2015-16,26.0,DET,SE,C,29,1,2,3,1,6,1,0,0,17,262,-0.3,0.3,0.1,-0.4,1.2,0.0,0.8,Sub_ 72,5,5,Andersson Joakim_2015-2016,2015,2015-2016,Andersson Joakim,Joakim ,Andersson,600295,0.600295,1.6658476249177487,3.3316952498354975,4.997542874753246,28.31940962360173,1.6658476249177487,436.45207772845015,1.6658476249177487,3.3316952498354975,4.997542874753246,28.31940962360173,1.6658476249177487,436.45207772845015
25,422,Andreoff Andy,Andreoff,Andy,2014-15,23.0,LAK,CA,LW/C,18,2,1,3,1,18,2,0,0,14,154,0.1,0.2,0.4,0.6,0.4,0.0,1.0,Sub_ 79,2,1,Andreoff Andy_2014-2015,2014,2014-2015,Andreoff Andy,Andy ,Andreoff,550000,0.55,3.6363636363636362,1.8181818181818181,5.454545454545454,25.454545454545453,1.8181818181818181,280.0,3.6363636363636362,1.8181818181818181,5.454545454545454,25.454545454545453,1.8181818181818181,280.0
26,423,Andreoff Andy,Andreoff,Andy,2015-16,24.0,LAK,CA,LW,60,8,2,10,1,76,8,0,0,46,528,0.6,0.6,1.2,0.7,1.1,0.0,1.8,Sub_ 79,2,2,Andreoff Andy_2015-2016,2015,2015-2016,Andreoff Andy,Andy ,Andreoff,575000,0.575,13.913043478260871,3.4782608695652177,17.39130434782609,80.0,1.7391304347826089,918.2608695652175,13.913043478260871,3.4782608695652177,17.39130434782609,80.0,1.7391304347826089,918.2608695652175
27,449,Andrighetto Sven,Andrighetto,Sven,2015-16,22.0,MTL,CH,RW,44,7,10,17,1,6,6,1,0,74,621,0.9,0.7,1.7,1.3,1.3,0.5,3.0,Sub_ 82,2,2,Andrighetto Sven_2015-2016,2015,2015-2016,Andrighetto Sven,Sven ,Andrighetto,458284,0.458284,15.274371350516272,21.820530500737533,37.09490185125381,161.47192570545775,2.1820530500737534,1355.0549440958007,15.274371350516272,21.820530500737533,37.09490185125381,161.47192570545775,2.1820530500737534,1355.0549440958007
28,461,Angelidis Mike,Angelidis,Mike,2012-13,27.0,TBL,CA,C,1,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.1,0.0,0.1,Sub_ 85,4,2,Angelidis Mike_2012-2013,2012,2012-2013,Angelidis Mike,Mike ,Angelidis,307317,0.307317,0.0,0.0,0.0,0.0,0.0,22.777783201059492,0.0,0.0,0.0,0.0,0.0,22.777783201059492
29,462,Angelidis Mike,Angelidis,Mike,2014-15,29.0,TBL,CA,LW,3,0,0,0,0,12,0,0,0,0,22,-0.1,0.0,0.0,-0.1,0.0,0.0,0.0,Sub_ 85,4,3,Angelidis Mike_2014-2015,2014,2014-2015,Angelidis Mike,Mike ,Angelidis,27957,0.027957,0.0,0.0,0.0,0.0,0.0,786.9227742604714,0.0,0.0,0.0,0.0,0.0,786.9227742604714
30,476,Anisimov Artem,Anisimov,Artem,2011-12,23.0,NYR,SU,C,79,16,20,36,12,34,11,4,1,132,1217,2.4,2.0,4.4,4.7,3.5,-0.6,7.6,Sub_ 89,8,4,Anisimov Artem_2011-2012,2011,2011-2012,Anisimov Artem,Artem ,Anisimov,1875000,1.875,8.533333333333333,10.666666666666666,19.2,70.4,6.4,649.0666666666667,8.533333333333333,10.666666666666666,19.2,70.4,6.4,649.0666666666667
31,477,Anisimov Artem,Anisimov,Artem,2012-13,24.0,CBJ,SU,C,35,11,7,18,-6,12,10,1,0,68,574,1.6,0.4,2.1,2.0,0.9,1.5,4.4,Sub_ 89,8,5,Anisimov Artem_2012-2013,2012,2012-2013,Anisimov Artem,Artem ,Anisimov,1097561,1.097561,10.022221999506177,6.377777636049386,16.399999635555563,61.95555417876546,-5.466666545185188,522.9777661560496,10.022221999506177,6.377777636049386,16.399999635555563,61.95555417876546,-5.466666545185188,522.9777661560496
32,478,Anisimov Artem,Anisimov,Artem,2013-14,25.0,CBJ,SU,C,81,22,17,39,-2,20,17,3,2,162,1344,3.1,1.4,4.5,5.0,3.5,0.0,8.5,Sub_ 89,8,6,Anisimov Artem_2013-2014,2013,2013-2014,Anisimov Artem,Artem ,Anisimov,2750000,2.75,8.0,6.181818181818182,14.181818181818182,58.90909090909091,-0.7272727272727273,488.72727272727275,8.0,6.181818181818182,14.181818181818182,58.90909090909091,-0.7272727272727273,488.72727272727275
33,479,Anisimov Artem,Anisimov,Artem,2014-15,26.0,CBJ,RU,C,52,7,20,27,-6,8,7,0,0,88,852,1.4,0.6,2.0,2.8,1.0,-0.8,3.0,Sub_ 89,8,7,Anisimov Artem_2014-2015,2014,2014-2015,Anisimov Artem,Artem ,Anisimov,3100000,3.1,2.258064516129032,6.451612903225806,8.709677419354838,28.387096774193548,-1.9354838709677418,274.83870967741933,2.258064516129032,6.451612903225806,8.709677419354838,28.387096774193548,-1.9354838709677418,274.83870967741933
34,480,Anisimov Artem,Anisimov,Artem,2015-16,27.0,CHI,SU,C,77,20,22,42,8,12,12,5,3,121,1393,3.1,1.9,4.9,2.6,3.7,0.5,6.8,Sub_ 89,8,8,Anisimov Artem_2015-2016,2015,2015-2016,Anisimov Artem,Artem ,Anisimov,4000000,4.0,5.0,5.5,10.5,30.25,2.0,348.25,5.0,5.5,10.5,30.25,2.0,348.25
35,541,Arcobello Mark,Arcobello,Mark,2014-15,26.0,ARI,US,C/RW,77,17,14,31,-10,20,16,1,0,129,1140,2.2,1.0,3.3,3.8,2.4,-0.5,5.6,Sub_ 101,4,3,Arcobello Mark_2014-2015,2014,2014-2015,Arcobello Mark,Mark ,Arcobello,193548,0.193548,87.83350900035134,72.33347800028933,160.16698700064066,666.501333002666,-51.66677000020667,5890.01178002356,87.83350900035134,72.33347800028933,160.16698700064066,666.501333002666,-51.66677000020667,5890.01178002356
36,550,Armia Joel,Armia,Joel,2015-16,22.0,WPG,FI,RW,43,4,6,10,2,12,4,0,0,52,523,0.1,0.6,0.8,0.2,1.2,0.0,1.5,Sub_ 104,2,2,Armia Joel_2015-2016,2015,2015-2016,Armia Joel,Joel ,Armia,832500,0.8325,4.804804804804805,7.207207207207207,12.012012012012011,62.46246246246246,2.4024024024024024,628.2282282282282,4.804804804804805,7.207207207207207,12.012012012012011,62.46246246246246,2.4024024024024024,628.2282282282282
37,642,Arvidsson Viktor,Arvidsson,Viktor,2014-15,21.0,NSH,SE,LW,6,0,0,0,0,0,0,0,0,9,62,-0.2,0.1,-0.1,-0.3,0.1,0.0,-0.2,Sub_ 122,2,1,Arvidsson Viktor_2014-2015,2014,2014-2015,Arvidsson Viktor,Viktor ,Arvidsson,105753,0.105753,0.0,0.0,0.0,85.10396868173953,0.0,586.2717842519834,0.0,0.0,0.0,85.10396868173953,0.0,586.2717842519834
38,643,Arvidsson Viktor,Arvidsson,Viktor,2015-16,22.0,NSH,SE,LW,56,8,8,16,-8,35,7,1,0,139,694,0.8,0.4,1.2,1.1,0.7,0.0,1.8,Sub_ 122,2,2,Arvidsson Viktor_2015-2016,2015,2015-2016,Arvidsson Viktor,Viktor ,Arvidsson,476103,0.476103,16.803086727031754,16.803086727031754,33.60617345406351,291.95363188217675,-16.803086727031754,1457.6677735700048,16.803086727031754,16.803086727031754,33.60617345406351,291.95363188217675,-16.803086727031754,1457.6677735700048
39,696,Athanasiou Andreas,Athanasiou,Andreas,2015-16,21.0,DET,CA,C,37,9,5,14,1,5,8,0,1,53,334,1.7,0.4,2.1,2.8,1.1,0.5,4.3,Sub_ 131,1,1,Athanasiou Andreas_2015-2016,2015,2015-2016,Athanasiou Andreas,Andreas ,Athanasiou,333598,0.333598,26.978579008267435,14.988099449037463,41.9666784573049,158.8738541597971,2.997619889807493,1001.2050431957026,26.978579008267435,14.988099449037463,41.9666784573049,158.8738541597971,2.997619889807493,1001.2050431957026
40,772,Aulie Keith,Aulie,Keith,2011-12,22.0,TOT,CA,D,36,0,3,3,-7,29,0,0,0,18,484,-0.2,0.2,0.0,-0.8,0.0,0.0,-0.8,Sub_ 146,5,2,Aulie Keith_2011-2012,2011,2011-2012,Aulie Keith,Keith ,Aulie,525000,0.525,0.0,5.714285714285714,5.714285714285714,34.285714285714285,-13.333333333333332,921.9047619047618,0.0,5.714285714285714,5.714285714285714,34.285714285714285,-13.333333333333332,921.9047619047618
41,773,Aulie Keith,Aulie,Keith,2012-13,23.0,TBL,CA,D,45,2,5,7,1,60,2,0,0,37,577,0.3,1.0,1.2,0.6,1.1,0.0,1.7,Sub_ 146,5,3,Aulie Keith_2012-2013,2012,2012-2013,Aulie Keith,Keith ,Aulie,338049,0.338049,5.916302074551322,14.790755186378307,20.70705726092963,109.45158837919946,2.958151037275661,1706.8531485080566,5.916302074551322,14.790755186378307,20.70705726092963,109.45158837919946,2.958151037275661,1706.8531485080566
42,774,Aulie Keith,Aulie,Keith,2013-14,24.0,TBL,CA,D,15,0,1,1,-3,9,0,0,0,6,147,-0.1,0.0,-0.1,-0.2,-0.2,0.0,-0.4,Sub_ 146,5,4,Aulie Keith_2013-2014,2013,2013-2014,Aulie Keith,Keith ,Aulie,975000,0.975,0.0,1.0256410256410258,1.0256410256410258,6.153846153846154,-3.076923076923077,150.76923076923077,0.0,1.0256410256410258,1.0256410256410258,6.153846153846154,-3.076923076923077,150.76923076923077
43,775,Aulie Keith,Aulie,Keith,2014-15,25.0,EDM,CA,D,31,0,1,1,-3,66,0,0,0,25,443,-0.4,0.8,0.3,-1.4,1.1,-0.3,-0.5,Sub_ 146,5,5,Aulie Keith_2014-2015,2014,2014-2015,Aulie Keith,Keith ,Aulie,688172,0.688172,0.0,1.4531250908203182,1.4531250908203182,36.328127270507956,-4.359375272460954,643.7344152334009,0.0,1.4531250908203182,1.4531250908203182,36.328127270507956,-4.359375272460954,643.7344152334009
44,861,Backes David,Backes,David,2011-12,27.0,STL,US,RW,82,24,30,54,15,101,14,8,2,234,1640,4.2,2.8,7.0,6.3,5.2,-0.3,11.2,Sub_ 160,10,6,Backes David_2011-2012,2011,2011-2012,Backes David,David ,Backes,4500000,4.5,5.333333333333333,6.666666666666667,12.0,52.0,3.3333333333333335,364.44444444444446,5.333333333333333,6.666666666666667,12.0,52.0,3.3333333333333335,364.44444444444446
45,862,Backes David,Backes,David,2012-13,28.0,STL,US,RW,48,6,22,28,5,62,5,1,0,100,941,1.1,1.5,2.6,1.8,3.5,0.0,5.3,Sub_ 160,10,7,Backes David_2012-2013,2012,2012-2013,Backes David,David ,Backes,2195122,2.195122,2.733333272592594,10.022221999506177,12.755555272098771,45.5555545432099,2.277777727160495,428.67776825160513,2.733333272592594,10.022221999506177,12.755555272098771,45.5555545432099,2.277777727160495,428.67776825160513
46,863,Backes David,Backes,David,2013-14,29.0,STL,US,C,74,27,30,57,14,119,17,10,0,165,1447,5.3,2.3,7.6,9.8,5.2,0.0,15.0,Sub_ 160,10,8,Backes David_2013-2014,2013,2013-2014,Backes David,David ,Backes,4750000,4.75,5.684210526315789,6.315789473684211,12.0,34.73684210526316,2.9473684210526314,304.63157894736844,5.684210526315789,6.315789473684211,12.0,34.73684210526316,2.9473684210526314,304.63157894736844
47,864,Backes David,Backes,David,2014-15,30.0,STL,US,C/RW,80,26,32,58,7,104,16,10,0,183,1491,5.2,1.9,7.2,8.1,4.5,0.0,12.7,Sub_ 160,10,9,Backes David_2014-2015,2014,2014-2015,Backes David,David ,Backes,4750000,4.75,5.473684210526316,6.7368421052631575,12.210526315789474,38.526315789473685,1.4736842105263157,313.89473684210526,5.473684210526316,6.7368421052631575,12.210526315789474,38.526315789473685,1.4736842105263157,313.89473684210526
48,865,Backes David,Backes,David,2015-16,31.0,STL,US,C,79,21,24,45,4,83,13,8,0,168,1519,3.2,2.0,5.2,5.5,3.9,0.2,9.6,Sub_ 160,10,10,Backes David_2015-2016,2015,2015-2016,Backes David,David ,Backes,4750000,4.75,4.421052631578948,5.052631578947368,9.473684210526315,35.36842105263158,0.8421052631578947,319.7894736842105,4.421052631578948,5.052631578947368,9.473684210526315,35.36842105263158,0.8421052631578947,319.7894736842105
49,869,Backlund Mikael,Backlund,Mikael,2011-12,22.0,CGY,SE,C,41,4,7,11,-13,16,2,2,0,85,631,-0.1,0.2,0.2,-1.0,0.2,-0.3,-1.1,Sub_ 161,8,4,Backlund Mikael_2011-2012,2011,2011-2012,Backlund Mikael,Mikael ,Backlund,875000,0.875,4.571428571428571,8.0,12.571428571428571,97.14285714285714,-14.857142857142858,721.1428571428571,4.571428571428571,8.0,12.571428571428571,97.14285714285714,-14.857142857142858,721.1428571428571
50,870,Backlund Mikael,Backlund,Mikael,2012-13,23.0,CGY,SE,C,32,8,8,16,-6,29,6,2,0,88,484,1.3,0.3,1.6,2.6,0.2,0.0,2.9,Sub_ 161,8,5,Backlund Mikael_2012-2013,2012,2012-2013,Backlund Mikael,Mikael ,Backlund,424390,0.42439,18.850585546313532,18.850585546313532,37.701171092627064,207.35644100944887,-14.137939159735149,1140.4604255519687,18.850585546313532,18.850585546313532,37.701171092627064,207.35644100944887,-14.137939159735149,1140.4604255519687
51,871,Backlund Mikael,Backlund,Mikael,2013-14,24.0,CGY,SE,C,76,18,21,39,4,32,9,5,4,178,1409,2.4,2.0,4.4,3.9,4.6,-0.6,7.9,Sub_ 161,8,6,Backlund Mikael_2013-2014,2013,2013-2014,Backlund Mikael,Mikael ,Backlund,1500000,1.5,12.0,14.0,26.0,118.66666666666667,2.6666666666666665,939.3333333333334,12.0,14.0,26.0,118.66666666666667,2.6666666666666665,939.3333333333334
52,872,Backlund Mikael,Backlund,Mikael,2014-15,25.0,CGY,SE,C,52,10,17,27,4,14,8,0,2,103,923,1.5,1.2,2.7,4.0,2.7,0.0,6.7,Sub_ 161,8,7,Backlund Mikael_2014-2015,2014,2014-2015,Backlund Mikael,Mikael ,Backlund,1500000,1.5,6.666666666666667,11.333333333333334,18.0,68.66666666666667,2.6666666666666665,615.3333333333334,6.666666666666667,11.333333333333334,18.0,68.66666666666667,2.6666666666666665,615.3333333333334
53,873,Backlund Mikael,Backlund,Mikael,2015-16,26.0,CGY,SE,C,82,21,26,47,10,28,15,3,3,155,1347,3.7,1.7,5.5,7.3,4.3,0.0,11.6,Sub_ 161,8,8,Backlund Mikael_2015-2016,2015,2015-2016,Backlund Mikael,Mikael ,Backlund,3575000,3.575,5.874125874125874,7.2727272727272725,13.146853146853147,43.35664335664335,2.797202797202797,376.78321678321674,5.874125874125874,7.2727272727272725,13.146853146853147,43.35664335664335,2.797202797202797,376.78321678321674
